,Unnamed: 0.1,GF,GA,xG,xGA,Poss,Attendance,Sh,SoT,Dist,FK,PK,PKatt,Season,Venue_code,opp_code,team_code,formation,hour,day_code,target
47,47,1,4,0.7,2.3,43.0,41874.0,9.0,3.0,16.4,0.0,0.0,0.0,2021,1,18,1,11,16,6,0
48,48,0,1,0.6,0.6,44.0,30178.0,14.0,3.0,19.5,1.0,0.0,0.0,2021,0,15,1,8,20,4,0
49,49,2,0,0.7,0.4,38.0,41925.0,9.0,5.0,16.5,0.0,0.0,0.0,2021,1,3,1,11,15,5,1
50,50,2,1,0.5,1.0,36.0,25203.0,10.0,3.0,20.5,2.0,0.0,0.0,2021,0,6,1,11,15,5,1
51,51,1,2,0.8,1.0,36.0,41400.0,9.0,3.0,13.1,0.0,0.0,0.0,2021,1,11,1,11,20,2,0
52,52,2,1,2.1,1.1,41.0,41572.0,13.0,4.0,13.9,0.0,0.0,0.0,2021,1,9,1,11,16,6,1
53,53,0,1,0.2,2.2,38.0,53093.0,4.0,0.0,23.6,1.0,0.0,0.0,2021,0,10,1,11,15,5,0
54,54,2,0,2.0,0.5,50.0,26836.0,17.0,6.0,16.7,0.0,0.0,0.0,2021,0,14,1,11,19,1,1
55,55,1,3,0.4,2.6,42.0,41907.0,8.0,1.0,18.8,0.0,0.0,0.0,2021,1,5,1,9,17,6,0
56,56,1,2,0.8,0.6,55.0,16876.0,16.0,5.0,17.1,0.0,0.0,0.0,2021,0,2,1,11,14,6,0
57,57,2,2,1.9,1.0,54.0,41968.0,13.0,9.0,12.7,0.0,0.0,0.0,2021,1,12,1,11,17,5,0
58,58,1,0,0.8,1.6,50.0,38203.0,8.0,3.0,19.8,2.0,0.0,0.0,2021,0,7,1,11,12,5,1
59,59,3,3,1.6,1.8,40.0,41927.0,12.0,4.0,15.7,0.0,0.0,0.0,2021,1,8,1,11,20,2,0
60,60,0,1,0.6,0.5,62.0,52207.0,11.0,1.0,19.9,1.0,0.0,0.0,2021,0,13,1,11,14,6,0
61,61,0,1,1.3,1.2,59.0,41936.0,20.0,1.0,21.0,1.0,0.0,0.0,2021,1,17,1,11,15,5,0
62,62,2,0,1.0,0.7,34.0,31475.0,9.0,4.0,17.5,1.0,0.0,0.0,2021,0,3,1,5,15,5,1
63,63,4,0,2.5,1.1,38.0,41855.0,14.0,9.0,15.7,0.0,0.0,0.0,2021,1,15,1,9,15,5,1
64,64,3,0,1.5,0.2,49.0,36400.0,15.0,9.0,19.6,1.0,0.0,0.0,2021,0,8,1,9,19,3,1
65,65,1,2,1.1,1.2,53.0,59957.0,13.0,7.0,14.9,1.0,0.0,0.0,2021,0,18,1,5,14,6,0
66,66,0,1,0.5,1.3,47.0,41956.0,8.0,1.0,16.8,2.0,0.0,0.0,2021,1,0,1,10,12,5,0
67,67,1,2,2.1,1.3,51.0,31012.0,14.0,4.0,20.0,1.0,1.0,1.0,2021,0,19,1,9,15,5,0
68,68,0,4,1.6,1.1,52.0,41949.0,19.0,8.0,16.3,1.0,0.0,0.0,2021,1,16,1,9,17,5,0
69,69,0,0,0.9,0.3,36.0,32185.0,11.0,3.0,17.9,0.0,0.0,0.0,2021,0,9,1,10,15,5,0
70,70,2,0,1.8,0.5,45.0,40290.0,21.0,6.0,15.7,0.0,0.0,0.0,2021,1,14,1,6,15,5,1
71,71,3,1,2.1,1.9,51.0,20891.0,12.0,7.0,18.3,1.0,0.0,0.0,2021,0,4,1,5,15,5,1
72,72,1,2,1.4,1.8,40.0,41919.0,9.0,4.0,13.7,0.0,0.0,0.0,2021,1,10,1,9,20,1,0
73,73,1,1,1.0,1.4,49.0,41136.0,13.0,4.0,18.7,0.0,0.0,0.0,2021,1,6,1,9,14,6,0
74,74,1,1,1.5,1.6,71.0,40468.0,22.0,9.0,19.4,0.0,0.0,0.0,2021,1,4,1,10,20,3,0
75,75,2,3,0.2,3.4,29.0,53395.0,4.0,2.0,16.8,0.0,0.0,0.0,2021,0,11,1,10,16,6,0
76,76,2,0,1.2,1.3,36.0,16479.0,8.0,3.0,12.1,0.0,0.0,0.0,2021,1,0,2,4,20,4,1
77,77,0,0,0.9,0.5,47.0,23091.0,14.0,3.0,18.0,1.0,0.0,0.0,2021,0,6,2,4,15,5,0
78,78,1,1,0.9,0.7,54.0,42045.0,9.0,2.0,15.6,0.0,0.0,0.0,2021,0,1,2,2,15,5,0
79,79,0,1,0.4,0.3,41.0,16518.0,7.0,1.0,20.3,0.0,0.0,0.0,2021,1,3,2,4,15,5,0
80,80,2,0,2.5,0.6,38.0,30000.0,8.0,2.0,18.7,0.0,1.0,1.0,2021,0,19,2,4,12,5,1
81,81,3,3,2.1,2.8,33.0,16876.0,12.0,3.0,12.0,0.0,0.0,0.0,2021,1,10,2,4,17,5,0
82,82,2,1,1.2,1.5,41.0,49940.0,13.0,6.0,13.9,1.0,0.0,0.0,2021,0,18,2,4,14,6,1
83,83,0,1,1.4,0.3,45.0,16940.0,17.0,6.0,14.5,0.0,0.0,0.0,2021,1,5,2,4,17,5,0
84,84,1,2,1.0,1.5,54.0,16814.0,15.0,5.0,16.3,0.0,0.0,0.0,2021,1,9,2,4,14,6,0
85,85,1,3,0.8,2.3,59.0,18821.0,12.0,4.0,18.2,1.0,0.0,0.0,2021,0,4,2,4,15,5,0
86,86,1,2,2.5,1.2,64.0,16837.0,19.0,7.0,10.8,0.0,0.0,0.0,2021,1,14,2,4,15,5,0
87,87,3,3,0.9,1.5,47.0,52131.0,10.0,3.0,18.5,1.0,0.0,0.0,2021,0,13,2,4,15,5,0
88,88,1,0,1.2,1.0,40.0,16957.0,5.0,3.0,18.9,0.0,1.0,1.0,2021,1,7,2,4,14,6,1
89,89,0,2,0.3,1.9,53.0,54202.0,6.0,2.0,17.1,0.0,0.0,0.0,2021,0,16,2,4,19,3,0
90,90,2,2,1.0,1.2,37.0,35639.0,9.0,3.0,16.7,1.0,0.0,0.0,2021,0,8,2,4,14,6,0
91,91,2,1,1.6,0.5,63.0,16861.0,13.0,4.0,15.5,0.0,1.0,1.0,2021,1,17,2,4,20,4,1
92,92,0,2,0.7,0.8,50.0,30141.0,16.0,5.0,17.1,0.0,0.0,0.0,2021,0,3,2,4,20,6,0
93,93,0,1,0.4,1.1,24.0,17009.0,6.0,2.0,24.6,0.0,0.0,0.0,2021,1,11,2,4,20,2,0
94,94,2,1,0.6,0.8,45.0,16876.0,10.0,4.0,17.7,0.0,0.0,0.0,2021,1,1,2,4,14,6,1
95,95,1,4,0.5,1.4,52.0,27383.0,5.0,4.0,12.8,0.0,0.0,0.0,2021,0,15,2,4,19,1,0
96,96,0,3,0.7,2.7,32.0,52824.0,6.0,1.0,21.2,0.0,0.0,0.0,2021,0,10,2,4,14,6,0
97,97,1,3,2.3,2.3,44.0,17094.0,18.0,9.0,16.7,0.0,0.0,0.0,2021,1,12,2,4,20,2,0
98,98,1,2,1.1,0.2,50.0,16982.0,11.0,1.0,13.6,1.0,0.0,0.0,2021,1,19,2,4,15,5,0
99,99,0,2,0.4,1.9,26.0,51658.0,6.0,2.0,18.3,0.0,0.0,0.0,2021,0,11,2,4,19,2,0
100,100,0,0,1.6,0.3,42.0,16958.0,9.0,2.0,12.9,0.0,0.0,0.0,2021,1,6,2,4,15,5,0
101,101,1,2,0.6,1.7,34.0,59249.0,6.0,2.0,20.7,0.0,0.0,0.0,2021,0,0,2,4,15,5,0
102,102,0,2,0.4,2.7,37.0,17039.0,6.0,1.0,16.5,0.0,0.0,0.0,2021,1,13,2,11,15,5,0
103,103,3,1,2.0,1.0,40.0,26887.0,8.0,4.0,21.4,0.0,2.0,2.0,2021,0,14,2,14,15,5,1
104,104,2,0,1.9,0.7,55.0,17088.0,12.0,2.0,21.5,0.0,1.0,1.0,2021,1,4,2,14,15,5,1
105,105,1,2,1.3,1.0,48.0,31830.0,15.0,6.0,14.9,0.0,0.0,0.0,2021,0,9,2,14,14,6,0
106,106,4,1,1.8,1.3,30.0,39061.0,17.0,6.0,13.5,1.0,0.0,0.0,2021,0,5,2,15,15,5,1
107,107,2,0,1.4,0.3,47.0,17032.0,15.0,7.0,15.8,0.0,0.0,0.0,2021,1,18,2,11,14,6,1
108,108,2,1,1.9,1.7,50.0,21045.0,16.0,5.0,19.7,0.0,0.0,0.0,2021,0,17,2,11,15,5,1
109,109,0,0,0.9,0.6,44.0,17072.0,15.0,1.0,15.3,1.0,0.0,0.0,2021,1,16,2,15,17,5,0
110,110,0,3,0.6,2.0,37.0,73482.0,12.0,4.0,18.9,1.0,0.0,0.0,2021,0,12,2,15,20,0,0
111,111,3,0,2.6,1.4,41.0,17051.0,18.0,5.0,13.9,1.0,0.0,0.0,2021,1,15,2,11,15,5,1
112,112,3,2,1.4,2.1,72.0,38819.0,18.0,6.0,18.1,1.0,0.0,0.0,2021,0,7,2,11,16,6,1
113,113,1,2,0.8,1.3,49.0,16957.0,14.0,5.0,13.7,0.0,0.0,0.0,2021,1,8,2,11,16,6,0
114,114,2,1,1.0,1.5,63.0,16910.0,14.0,6.0,14.9,1.0,0.0,0.0,2021,0,4,3,6,15,5,1
115,115,2,0,1.3,0.5,56.0,29485.0,13.0,3.0,16.9,0.0,0.0,0.0,2021,1,17,3,12,17,5,1
116,116,0,2,0.7,1.4,65.0,30548.0,14.0,3.0,22.3,2.0,0.0,0.0,2021,1,7,3,3,15,5,0
117,117,1,0,0.3,0.4,59.0,16518.0,4.0,2.0,19.0,0.0,0.0,0.0,2021,0,2,3,2,15,5,1
118,118,2,1,1.7,1.6,37.0,31078.0,11.0,4.0,16.9,2.0,1.0,1.0,2021,1,9,3,13,14,6,1
119,119,1,1,0.8,1.4,53.0,22975.0,8.0,4.0,15.8,0.0,0.0,0.0,2021,0,6,3,3,20,0,0
120,120,0,0,1.1,0.4,58.0,31266.0,21.0,2.0,17.7,0.0,0.0,0.0,2021,1,0,3,4,17,5,0
121,121,0,0,0.8,1.2,64.0,26777.0,11.0,3.0,16.1,0.0,0.0,0.0,2021,0,14,3,4,15,5,0
122,122,1,4,1.3,3.8,48.0,31215.0,9.0,4.0,18.9,0.0,1.0,1.0,2021,1,11,3,4,17,5,0
123,123,2,2,1.0,1.5,42.0,52598.0,9.0,6.0,17.0,0.0,0.0,0.0,2021,0,10,3,8,15,5,0
124,124,1,1,1.5,0.3,65.0,31267.0,13.0,4.0,17.9,0.0,1.0,1.0,2021,1,13,3,8,17,5,0
125,125,0,2,0.4,0.7,62.0,41925.0,6.0,2.0,17.7,0.0,0.0,0.0,2021,0,1,3,4,15,5,0
126,126,0,0,2.1,0.6,57.0,31166.0,20.0,4.0,16.6,0.0,0.0,0.0,2021,1,8,3,8,17,5,0
127,127,1,1,1.3,1.3,65.0,59626.0,9.0,3.0,16.0,1.0,0.0,0.0,2021,0,18,3,8,19,2,0
128,128,1,1,1.6,1.6,56.0,28706.0,14.0,4.0,18.7,1.0,0.0,0.0,2021,0,15,3,4,15,5,0
129,129,0,1,1.2,1.0,59.0,30362.0,12.0,2.0,17.8,2.0,0.0,0.0,2021,1,19,3,11,19,2,0
130,130,2,0,0.8,0.7,50.0,30141.0,15.0,5.0,21.7,3.0,0.0,0.0,2021,1,2,3,5,20,6,1
131,131,1,1,0.9,0.7,53.0,40080.0,18.0,6.0,20.2,1.0,0.0,0.0,2021,0,5,3,3,19,2,0
132,132,3,2,1.7,1.6,50.0,38203.0,12.0,5.0,19.1,0.0,0.0,0.0,2021,0,7,3,13,14,6,1
133,133,1,1,2.0,0.2,63.0,30675.0,18.0,3.0,18.2,0.0,0.0,1.0,2021,1,6,3,5,20,4,0
134,134,1,1,0.7,0.7,44.0,30880.0,10.0,2.0,16.2,0.0,0.0,0.0,2021,1,5,3,6,20,1,0
135,135,1,1,1.1,1.4,56.0,31231.0,14.0,4.0,17.9,0.0,0.0,0.0,2021,0,9,3,5,14,6,0
136,136,2,0,1.6,0.5,64.0,20795.0,11.0,5.0,12.3,0.0,0.0,0.0,2021,0,17,3,0,15,5,1
137,137,0,2,0.7,1.7,50.0,73012.0,10.0,3.0,18.9,0.0,0.0,0.0,2021,0,12,3,5,20,1,0
138,138,0,3,0.6,0.7,68.0,30361.0,11.0,1.0,19.5,0.0,0.0,0.0,2021,1,4,3,13,15,5,0
139,139,0,2,0.7,1.0,66.0,31475.0,12.0,1.0,19.4,0.0,0.0,0.0,2021,1,1,3,4,15,5,0
140,140,1,2,1.5,1.7,68.0,52214.0,15.0,4.0,14.2,0.0,0.0,0.0,2021,0,13,3,5,15,5,0
141,141,0,2,0.5,2.2,52.0,31474.0,8.0,3.0,18.4,0.0,0.0,0.0,2021,1,10,3,8,12,5,0
142,142,0,2,0.7,2.2,48.0,31144.0,15.0,0.0,18.3,0.0,0.0,0.0,2021,1,16,3,8,19,2,0
143,143,0,0,2.8,0.4,63.0,31245.0,30.0,4.0,18.7,1.0,0.0,1.0,2021,1,14,3,2,15,5,0
144,144,2,1,0.6,1.9,36.0,60112.0,8.0,3.0,23.1,0.0,0.0,0.0,2021,0,0,3,4,15,5,1
145,145,1,0,0.6,0.5,51.0,58685.0,12.0,4.0,17.0,0.0,0.0,0.0,2021,0,16,3,4,12,5,1
146,146,0,3,0.2,1.3,35.0,52226.0,2.0,1.0,19.0,1.0,0.0,0.0,2021,0,11,3,4,20,2,0
147,147,2,2,1.7,0.9,48.0,31335.0,8.0,5.0,11.4,0.0,0.0,0.0,2021,1,15,3,9,14,6,0
148,148,3,0,2.6,0.7,51.0,31243.0,15.0,8.0,21.4,0.0,1.0,2.0,2021,0,19,3,3,15,5,1
149,149,4,0,2.3,0.9,42.0,31637.0,17.0,5.0,15.9,0.0,0.0,0.0,2021,1,12,3,3,17,5,1
150,150,1,1,2.2,1.6,50.0,36638.0,15.0,6.0,14.3,0.0,0.0,0.0,2021,0,8,3,3,14,6,0
151,151,3,1,1.6,0.2,50.0,31604.0,18.0,7.0,16.4,0.0,0.0,0.0,2021,1,18,3,10,16,6,1
152,152,1,2,1.5,1.0,37.0,16910.0,14.0,3.0,16.2,1.0,0.0,0.0,2021,1,3,4,13,15,5,0
153,153,0,2,0.9,2.7,35.0,52591.0,9.0,3.0,15.3,0.0,0.0,0.0,2021,0,10,4,13,12,5,0
154,154,1,1,1.0,1.2,36.0,20000.0,12.0,3.0,16.5,0.0,0.0,0.0,2021,1,8,4,13,14,6,0
155,155,1,3,1.0,1.4,48.0,30000.0,11.0,6.0,16.8,0.0,0.0,0.0,2021,0,7,4,13,20,0,0
156,156,0,1,1.0,1.1,46.0,20000.0,18.0,3.0,15.4,0.0,0.0,0.0,2021,1,0,4,13,15,5,0
157,157,2,2,0.5,2.4,34.0,31650.0,9.0,3.0,22.7,1.0,0.0,0.0,2021,0,9,4,13,15,5,0
158,158,0,0,1.2,0.6,56.0,17427.0,14.0,4.0,16.6,1.0,0.0,0.0,2021,1,14,4,13,15,5,0
159,159,0,2,0.9,2.1,30.0,52711.0,7.0,2.0,14.5,0.0,0.0,0.0,2021,0,11,4,13,15,5,0
160,160,2,2,0.7,1.6,39.0,29145.0,9.0,5.0,20.9,0.0,0.0,0.0,2021,0,15,4,13,15,5,0
161,161,3,1,2.3,0.8,41.0,18821.0,15.0,5.0,16.6,1.0,0.0,0.0,2021,1,2,4,13,15,5,1
162,162,1,1,0.7,1.8,30.0,39798.0,5.0,2.0,15.9,0.0,0.0,0.0,2021,0,5,4,13,15,5,0
163,163,3,3,1.5,1.9,40.0,18028.0,15.0,9.0,16.1,1.0,0.0,0.0,2021,1,6,4,13,15,5,0
164,164,0,0,0.2,0.7,35.0,30328.0,6.0,1.0,21.3,0.0,0.0,0.0,2021,0,19,4,13,19,2,0
165,165,0,1,0.6,1.0,52.0,51948.0,10.0,1.0,18.8,2.0,0.0,0.0,2021,0,13,4,13,15,5,0
166,166,0,0,0.8,0.8,40.0,18065.0,9.0,1.0,15.2,0.0,0.0,0.0,2021,1,18,4,13,14,6,0
167,167,1,3,1.1,2.4,43.0,73121.0,10.0,3.0,13.3,0.0,0.0,0.0,2021,0,12,4,13,20,3,0
168,168,1,3,1.0,1.9,45.0,36083.0,8.0,2.0,17.8,1.0,0.0,0.0,2021,0,8,4,13,14,6,0
169,169,0,0,0.4,1.2,25.0,59255.0,10.0,1.0,21.2,0.0,0.0,0.0,2021,0,0,4,13,14,6,0
170,170,0,0,0.6,0.8,53.0,19527.0,13.0,2.0,19.5,1.0,0.0,0.0,2021,1,17,4,13,18,5,0
171,171,1,1,0.4,1.8,37.0,21233.0,9.0,3.0,20.5,0.0,0.0,0.0,2021,1,12,4,13,20,1,0
172,172,0,1,1.5,1.7,34.0,19563.0,8.0,5.0,19.3,0.0,0.0,0.0,2021,1,10,4,13,14,6,0
173,173,3,0,0.7,0.6,32.0,30361.0,10.0,4.0,19.7,0.0,0.0,0.0,2021,0,3,4,13,15,5,1
174,174,1,0,0.9,0.7,34.0,19488.0,15.0,4.0,17.3,0.0,0.0,0.0,2021,1,16,4,13,19,2,1
175,175,1,1,0.2,1.0,41.0,24203.0,5.0,1.0,19.2,0.0,0.0,0.0,2021,0,6,4,13,15,5,0
176,176,0,2,0.9,1.5,45.0,17825.0,9.0,2.0,16.6,0.0,0.0,0.0,2021,1,9,4,13,19,1,0
177,177,0,4,0.7,2.3,28.0,19439.0,6.0,0.0,17.2,1.0,0.0,0.0,2021,1,5,4,13,15,5,0
178,178,0,2,0.7,1.9,45.0,17088.0,7.0,1.0,21.4,1.0,0.0,0.0,2021,0,2,4,13,15,5,0
179,179,0,2,0.1,1.8,24.0,21249.0,3.0,1.0,18.3,0.0,0.0,0.0,2021,1,11,4,14,15,5,0
180,180,3,2,2.0,2.4,52.0,19830.0,13.0,4.0,15.6,0.0,0.0,0.0,2021,1,7,4,13,19,2,1
181,181,0,2,1.7,1.7,55.0,26361.0,18.0,3.0,17.4,1.0,0.0,0.0,2021,0,14,4,13,14,6,0
182,182,1,1,1.8,2.2,39.0,59958.0,8.0,1.0,16.4,0.0,0.0,1.0,2021,0,18,4,13,14,6,0
183,183,2,0,1.5,0.9,44.0,17384.0,16.0,6.0,14.2,0.0,0.0,0.0,2021,1,15,4,13,19,3,1
184,184,1,0,1.4,0.6,36.0,19246.0,14.0,5.0,18.8,0.0,0.0,0.0,2021,1,19,4,13,14,6,1
185,185,2,1,1.6,1.0,53.0,20738.0,17.0,6.0,15.9,1.0,0.0,0.0,2021,0,17,4,13,15,5,1
186,186,1,3,1.9,2.1,49.0,20891.0,14.0,6.0,16.4,0.0,0.0,0.0,2021,1,1,4,13,15,5,0
187,187,0,1,0.7,2.2,32.0,61729.0,8.0,1.0,15.4,0.0,0.0,0.0,2021,0,16,4,15,12,6,0
188,188,1,1,1.6,1.5,29.0,40468.0,9.0,3.0,17.2,0.0,1.0,1.0,2021,0,1,4,15,20,3,0
189,189,1,2,1.6,1.8,52.0,21361.0,12.0,4.0,15.7,1.0,0.0,0.0,2021,1,13,4,13,16,6,0
190,190,3,0,0.7,0.2,62.0,38965.0,13.0,6.0,21.0,4.0,0.0,0.0,2021,1,6,5,3,15,5,1
191,191,2,0,3.1,0.3,65.0,58729.0,22.0,5.0,16.0,0.0,0.0,0.0,2021,0,0,5,3,16,6,1
192,192,1,1,0.6,2.5,35.0,54000.0,6.0,3.0,12.5,0.0,0.0,0.0,2021,0,10,5,3,17,5,0
193,193,3,0,1.3,1.2,57.0,39969.0,12.0,4.0,22.6,0.0,0.0,0.0,2021,1,1,5,3,17,5,1
194,194,3,0,2.1,0.5,53.0,60059.0,20.0,9.0,14.5,0.0,0.0,0.0,2021,0,16,5,3,16,6,1
195,195,0,1,0.2,1.7,41.0,40036.0,5.0,0.0,27.9,1.0,0.0,0.0,2021,1,11,5,4,12,5,0
196,196,3,1,3.3,1.3,62.0,40109.0,20.0,9.0,12.8,0.0,0.0,0.0,2021,1,15,5,3,15,5,1
197,197,1,0,0.3,1.4,55.0,16940.0,5.0,1.0,24.7,2.0,0.0,0.0,2021,0,2,5,4,17,5,1
198,198,7,0,3.1,0.1,62.0,40113.0,22.0,12.0,19.8,0.0,1.0,1.0,2021,1,14,5,3,12,5,1
199,199,3,0,2.2,0.2,79.0,52208.0,18.0,5.0,20.5,1.0,1.0,1.0,2021,0,13,5,3,15,5,1
200,200,1,1,1.8,0.7,70.0,39798.0,25.0,4.0,16.0,0.0,0.0,0.0,2021,1,4,5,2,15,5,0
201,201,3,0,2.0,0.4,61.0,35497.0,16.0,7.0,16.7,2.0,0.0,0.0,2021,0,9,5,3,12,5,1
202,202,1,1,2.7,0.9,65.0,40041.0,23.0,5.0,16.8,0.0,1.0,1.0,2021,1,12,5,3,16,6,0
203,203,2,1,0.9,1.0,49.0,20388.0,8.0,4.0,15.1,0.0,0.0,0.0,2021,0,17,5,3,19,2,1
204,204,2,3,1.1,1.8,63.0,59942.0,19.0,7.0,17.5,0.0,0.0,0.0,2021,0,18,5,3,12,5,0
205,205,3,2,2.5,1.4,57.0,39959.0,14.0,4.0,20.0,2.0,2.0,2.0,2021,1,8,5,3,15,5,1
206,206,1,1,2.9,0.6,80.0,13933.0,23.0,10.0,14.7,2.0,0.0,0.0,2021,1,7,5,3,19,3,0
207,207,0,0,0.9,0.2,63.0,30631.0,8.0,1.0,14.9,0.0,0.0,0.0,2021,0,19,5,3,14,6,0
